distance,dimensions,k
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.191238,4,1
0.105828,4,2
0.10429,4,2
0.105828,4,2
0.10429,4,2
0.0866508,4,2
0.0866508,4,2
0.0866508,4,2
0.0866508,4,2
0.0866508,4,2
0.0866508,4,2
0.0866508,4,2
0.0866508,4,2
0.0866508,4,2
0.105828,4,2
0.105828,4,2
0.0866508,4,2
0.0866508,4,2
0.105828,4,2
0.0866508,4,2
0.0866508,4,2
0.0866508,4,2
0.0866508,4,2
0.0866508,4,2
0.0866508,4,2
0.105828,4,2
0.10429,4,2
0.0866508,4,2
0.0866508,4,2
0.0866508,4,2
0.0866508,4,2
0.0866508,4,2
0.10429,4,2
0.105828,4,2
0.10429,4,2
0.0866508,4,2
0.0866508,4,2
0.0866508,4,2
0.0866508,4,2
0.0866508,4,2
0.105828,4,2
0.0565225,4,3
0.0600978,4,3
0.0781078,4,3
0.12306,4,3
0.0329557,4,3
0.0565225,4,3
0.0329557,4,3
0.0809487,4,3
0.0781078,4,3
0.0329557,4,3
0.100068,4,3
0.0329557,4,3
0.0781078,4,3
0.0600978,4,3
0.0329557,4,3
0.0329557,4,3
0.0329557,4,3
0.0781078,4,3
0.0850414,4,3
0.0329557,4,3
0.0687852,4,3
0.0850414,4,3
0.0329557,4,3
0.0866508,4,3
0.0329557,4,3
0.0809487,4,3
0.0565225,4,3
0.0329557,4,3
0.0872791,4,3
0.0565225,4,3
0.100068,4,3
0.0565225,4,3
0.0687852,4,3
0.0329557,4,3
0.0687852,4,3
0.0329557,4,3
0.0565225,4,3
0.0781078,4,3
0.0781078,4,3
0.0809487,4,3
0.0809444,4,4
0.0602422,4,4
0.0809444,4,4
0.0850366,4,4
0.0271958,4,4
0.0458112,4,4
0.0172923,4,4
0.0515548,4,4
0.0172923,4,4
0.0752776,4,4
0.0271958,4,4
0.0244127,4,4
0.0172923,4,4
0.0172923,4,4
0.0815191,4,4
0.030141,4,4
0.0172923,4,4
0.0172923,4,4
0.0752776,4,4
0.0458112,4,4
0.0272536,4,4
0.0172923,4,4
0.0752776,4,4
0.100064,4,4
0.0752776,4,4
0.0244127,4,4
0.0815191,4,4
0.0271958,4,4
0.0838309,4,4
0.0271958,4,4
0.0271958,4,4
0.0172923,4,4
0.0272536,4,4
0.0824931,4,4
0.0244127,4,4
0.0479795,4,4
0.0271958,4,4
0.0271958,4,4
0.0172923,4,4
0.0172923,4,4
0.0115323,4,5
0.0115323,4,5
0.0214937,4,5
0.0172885,4,5
0.0186527,4,5
0.00874927,4,5
0.0115323,4,5
0.0186527,4,5
0.0215825,4,5
0.0451493,4,5
0.0115902,4,5
0.0479747,4,5
0.0243811,4,5
0.0115323,4,5
0.0244079,4,5
0.00874927,4,5
0.0115323,4,5
0.0214937,4,5
0.0115323,4,5
0.0186527,4,5
0.0115323,4,5
0.0214937,4,5
0.0271911,4,5
0.0186527,4,5
0.0815147,4,5
0.00874927,4,5
0.0186527,4,5
0.0172866,4,5
0.0272505,4,5
0.0115323,4,5
0.0752725,4,5
0.00874927,4,5
0.0487247,4,5
0.0115323,4,5
0.00874927,4,5
0.050817,4,5
0.00874927,4,5
0.0271906,4,5
0.057412,4,5
0.0243811,4,5
0.0158226,4,6
0.0158226,4,6
0.00298934,4,6
0.0271877,4,6
0.0115267,4,6
0.021578,4,6
0.00874442,4,6
0.021579,4,6
0.00583028,4,6
0.0271878,4,6
0.0115267,4,6
0.00874481,4,6
0.0186479,4,6
0.00871769,4,6
0.00591912,4,6
0.0451452,4,6
0.0158226,4,6
0.0752698,4,6
0.00874443,4,6
0.0115281,4,6
0.0115859,4,6
0.0115267,4,6
0.0186479,4,6
0.00298934,4,6
0.0451441,4,6
0.00298934,4,6
0.0158226,4,6
0.0115846,4,6
0.00591912,4,6
0.0115275,4,6
0.00591912,4,6
0.011586,4,6
0.00298934,4,6
0.00874363,4,6
0.0115859,4,6
0.00591912,4,6
0.00591912,4,6
0.0115858,4,6
0.00298934,4,6
0.00583028,4,6
0.00298497,4,7
0.0215764,4,7
0.0451448,4,7
0.0272455,4,7
0.00591597,4,7
0.0215731,4,7
0.0158176,4,7
0.00298934,4,7
0.00871272,4,7
0.000159192,4,7
0.0458021,4,7
0.0115235,4,7
0.00298436,4,7
0.000159192,4,7
0.0215782,4,7
0.0215726,4,7
0.0115859,4,7
0.00298445,4,7
0.00298463,4,7
0.0158179,4,7
0.00298567,4,7
0.00582579,4,7
0.00591912,4,7
0.0215742,4,7
0.0115819,4,7
0.0215741,4,7
0.00298527,4,7
0.00591458,4,7
0.0186447,4,7
0.00582597,4,7
0.00874064,4,7
0.0158175,4,7
0.0115255,4,7
0.0752679,4,7
0.0215737,4,7
0.040043,4,7
0.00874221,4,7
0.000159192,4,7
0.0158178,4,7
0.00591481,4,7
0.0215743,4,8
0.00298129,4,8
0.00871035,4,8
0.040039,4,8
0.0214819,4,8
0.000153518,4,8
0.0186398,4,8
0.00873714,4,8
0.0158145,4,8
0.00298004,4,8
0.00297966,4,8
0.00015612,4,8
0.0158136,4,8
0.00590899,4,8
0.00297997,4,8
0.00297989,4,8
0.0158144,4,8
0.00582232,4,8
0.000154992,4,8
0.00582276,4,8
0.000155176,4,8
0.0214807,4,8
0.0115231,4,8
0.000154474,4,8
0.00298026,4,8
0.000153518,4,8
0.000153518,4,8
0.000154626,4,8
0.021571,4,8
0.00298002,4,8
0.0158163,4,8
0.000154608,4,8
0.00582026,4,8
0.000155119,4,8
0.0158147,4,8
0.00590879,4,8
0.00590826,4,8
0.000154062,4,8
0.000154819,4,8
0.000154654,4,8
0.000151283,4,9
0.0158109,4,9
0.000150428,4,9
0.000151051,4,9
0.000151271,4,9
0.000151391,4,9
0.000150932,4,9
0.0058169,4,9
0.000151503,4,9
0.00581918,4,9
0.00873694,4,9
0.000150859,4,9
0.000149661,4,9
0.000151126,4,9
0.000151126,4,9
0.0158098,4,9
0.00297651,4,9
0.0158102,4,9
0.005816,4,9
0.00297786,4,9
0.0029771,4,9
0.000149896,4,9
0.0115174,4,9
0.00581961,4,9
0.00297689,4,9
0.0158093,4,9
0.0158122,4,9
0.000150291,4,9
0.015812,4,9
0.000151165,4,9
0.0158144,4,9
0.00590916,4,9
0.000151754,4,9
0.00590641,4,9
0.000149934,4,9
0.000149486,4,9
0.000150389,4,9
0.0158104,4,9
0.000148814,4,9
0.00590893,4,9
0.000146485,4,10
0.000147264,4,10
0.0158068,4,10
0.00873049,4,10
0.0029728,4,10
0.00297322,4,10
0.000145583,4,10
0.000145634,4,10
0.000145592,4,10
0.00582068,4,10
0.00873287,4,10
0.00590368,4,10
0.0001459,4,10
0.0186345,4,10
0.0158088,4,10
0.000147229,4,10
0.0158056,4,10
0.0059019,4,10
0.000147029,4,10
0.000148236,4,10
0.000144748,4,10
0.000145421,4,10
0.000146473,4,10
0.000146391,4,10
0.00297431,4,10
0.000146674,4,10
0.00297429,4,10
0.015808,4,10
0.000145765,4,10
0.000149636,4,10
0.000146228,4,10
0.00014526,4,10
0.0158057,4,10
0.000146824,4,10
0.0186362,4,10
0.0158079,4,10
0.00581363,4,10
0.000146549,4,10
0.00581389,4,10
0.000149852,4,10
0.000140958,4,11
0.000147024,4,11
0.000142979,4,11
0.000142363,4,11
0.0451271,4,11
0.00296928,4,11
0.000141733,4,11
0.000143109,4,11
0.000140662,4,11
0.00590032,4,11
0.00590214,4,11
0.000148538,4,11
0.000141953,4,11
0.000141784,4,11
0.000141479,4,11
0.00296818,4,11
0.000144499,4,11
0.00014182,4,11
0.00296938,4,11
0.000143444,4,11
0.000141981,4,11
0.00296959,4,11
0.00014475,4,11
0.000142056,4,11
0.000144667,4,11
0.00297343,4,11
0.00581053,4,11
0.00014226,4,11
0.000145299,4,11
0.00581053,4,11
0.000144197,4,11
0.000143284,4,11
0.00296624,4,11
0.000143621,4,11
0.00296894,4,11
0.000140391,4,11
0.0158035,4,11
0.000141386,4,11
0.000141895,4,11
0.00589627,4,11
0.000136511,4,12
0.00580617,4,12
0.00589703,4,12
0.000143281,4,12
0.000139639,4,12
0.00296747,4,12
0.000137952,4,12
0.000137833,4,12
0.000137799,4,12
0.000134664,4,12
0.000137896,4,12
0.000137247,4,12
0.00589739,4,12
0.00296461,4,12
0.00296519,4,12
0.00296501,4,12
0.000136702,4,12
0.000141982,4,12
0.000137285,4,12
0.000140631,4,12
0.000138702,4,12
0.000138077,4,12
0.000138485,4,12
0.00014096,4,12
0.000138628,4,12
0.00589548,4,12
0.000143415,4,12
0.000136296,4,12
0.00580776,4,12
0.00013923,4,12
0.0058091,4,12
0.000138587,4,12
0.000138457,4,12
0.000136008,4,12
0.000136328,4,12
0.000139437,4,12
0.000143574,4,12
0.00014134,4,12
0.00872665,4,12
0.00296531,4,12
0.000138614,4,13
0.000135901,4,13
0.000131709,4,13
0.000136076,4,13
0.000136902,4,13
0.000133335,4,13
0.00296327,4,13
0.00589042,4,13
0.000133412,4,13
0.000135014,4,13
0.000134937,4,13
0.000140283,4,13
0.000130664,4,13
0.0158005,4,13
0.000133533,4,13
0.000135244,4,13
0.000137774,4,13
0.000134377,4,13
0.000135137,4,13
0.00013554,4,13
0.000135972,4,13
0.0158012,4,13
0.000138733,4,13
0.00580247,4,13
0.000136492,4,13
0.0157945,4,13
0.000138329,4,13
0.000139424,4,13
0.000138242,4,13
0.000134158,4,13
0.000137739,4,13
0.000134769,4,13
0.00589258,4,13
0.00580721,4,13
0.000131542,4,13
0.0157971,4,13
0.000135769,4,13
0.000136311,4,13
0.000139828,4,13
0.00589323,4,13
0.000130934,4,14
0.000132144,4,14
0.00296577,4,14
0.000129617,4,14
0.000140529,4,14
0.000133149,4,14
0.00588888,4,14
0.00013158,4,14
0.000131479,4,14
0.000130281,4,14
0.000129557,4,14
0.000129442,4,14
0.000131196,4,14
0.000137043,4,14
0.000130194,4,14
0.000140701,4,14
0.000130704,4,14
0.000132395,4,14
0.000130367,4,14
0.000137832,4,14
0.000136935,4,14
0.000133745,4,14
0.00295915,4,14
0.000131378,4,14
0.00013474,4,14
0.000131798,4,14
0.000141614,4,14
0.00869171,4,14
0.00295825,4,14
0.0157903,4,14
0.00588934,4,14
0.000132633,4,14
0.0157939,4,14
0.000129208,4,14
0.000132877,4,14
0.000134249,4,14
0.00295597,4,14
0.000136388,4,14
0.00589299,4,14
0.000134079,4,14
0.000128872,4,15
0.000130131,4,15
0.000125087,4,15
0.000125634,4,15
0.000128616,4,15
0.0115035,4,15
0.000133051,4,15
0.0157958,4,15
0.000133613,4,15
0.000130198,4,15
0.000128543,4,15
0.00012877,4,15
0.00588817,4,15
0.00013071,4,15
0.000128763,4,15
0.00012677,4,15
0.000127366,4,15
0.0001247,4,15
0.000130496,4,15
0.000128065,4,15
0.000129509,4,15
0.000124229,4,15
0.000131088,4,15
0.000131086,4,15
